                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.77687,                0.61284,                 1.0336,                0.75984,                0.73364,                0.82139,                 0.6205,                0.72511,                0.56484,                0.98481,              0.0091585,              0.0091585,              0.0091585
                     87,                0.77862,                 0.6142,                 1.0324,                  0.779,                   0.72,                0.81734,                0.61493,                0.72703,                0.56602,                0.98566,              0.0091486,              0.0091486,              0.0091486
                     88,                 0.7796,                0.61415,                 1.0313,                0.74304,                0.75805,                0.81907,                0.61658,                0.72683,                0.56686,                0.98668,              0.0091387,              0.0091387,              0.0091387
                     89,                0.77231,                0.60793,                 1.0283,                0.75168,                0.75347,                0.81798,                0.62104,                0.72629,                0.56641,                0.98575,              0.0091288,              0.0091288,              0.0091288
                     90,                 0.7772,                0.61083,                 1.0313,                0.76013,                0.74479,                0.81313,                0.61576,                0.73028,                0.56862,                0.98764,              0.0091189,              0.0091189,              0.0091189
                     91,                 0.7803,                0.61721,                 1.0363,                0.75573,                0.75633,                0.81132,                0.61445,                0.72839,                0.56867,                0.98708,               0.009109,               0.009109,               0.009109
                     92,                0.77092,                0.60813,                 1.0286,                0.75293,                0.75909,                0.81068,                0.61529,                0.72889,                0.57164,                0.98776,              0.0090991,              0.0090991,              0.0090991
                     93,                0.77588,                0.60675,                 1.0332,                0.75165,                0.76338,                 0.8122,                0.61881,                0.72536,                0.56904,                0.98613,              0.0090892,              0.0090892,              0.0090892
                     94,                0.76511,                0.59854,                 1.0267,                0.73814,                0.75425,                0.81157,                0.62219,                 0.7236,                0.56646,                0.98574,              0.0090793,              0.0090793,              0.0090793
                     95,                0.77116,                0.60514,                 1.0323,                0.70665,                0.78482,                0.81959,                 0.6224,                0.72442,                0.56604,                0.98663,              0.0090694,              0.0090694,              0.0090694
                     96,                0.76791,                0.59888,                 1.0273,                0.68278,                0.79569,                0.81326,                0.61528,                  0.725,                0.56649,                0.98674,              0.0090595,              0.0090595,              0.0090595
                     97,                   0.77,                0.60393,                 1.0304,                0.67148,                0.80391,                0.80593,                0.61786,                0.72614,                0.56713,                0.98711,              0.0090496,              0.0090496,              0.0090496
                     98,                 0.7663,                0.59764,                 1.0279,                 0.6701,                0.80655,                0.80881,                0.61822,                0.72685,                0.56646,                0.98734,              0.0090397,              0.0090397,              0.0090397
                     99,                0.76416,                0.60065,                 1.0252,                0.72469,                0.71861,                0.80378,                0.61264,                  0.728,                0.56666,                0.98775,              0.0090298,              0.0090298,              0.0090298
                    100,                0.76414,                0.59549,                 1.0229,                0.70886,                0.72483,                0.79979,                0.61218,                0.72689,                0.56662,                0.98707,              0.0090199,              0.0090199,              0.0090199
                    101,                0.76862,                0.59781,                  1.026,                 0.7183,                0.73611,                 0.8023,                0.61049,                0.72693,                 0.5675,                0.98699,                0.00901,                0.00901,                0.00901
                    102,                0.76369,                0.60065,                 1.0249,                0.71591,                 0.7384,                0.80311,                0.61266,                0.72822,                0.56766,                0.98738,              0.0090001,              0.0090001,              0.0090001
                    103,                0.76476,                0.59527,                 1.0275,                0.69884,                0.74378,                0.80398,                0.61568,                0.72747,                0.56765,                 0.9869,              0.0089902,              0.0089902,              0.0089902
                    104,                0.76702,                0.59727,                 1.0268,                0.72247,                0.75248,                0.81611,                0.61608,                0.72722,                0.56791,                 0.9869,              0.0089803,              0.0089803,              0.0089803
                    105,                0.76776,                0.59475,                 1.0254,                0.72674,                0.71829,                0.80484,                0.61539,                0.72692,                0.56785,                0.98675,              0.0089704,              0.0089704,              0.0089704
                    106,                0.76086,                 0.5934,                 1.0258,                0.73373,                0.71176,                 0.8008,                0.61192,                0.72716,                0.56792,                0.98674,              0.0089605,              0.0089605,              0.0089605
                    107,                0.75523,                0.58876,                 1.0211,                0.73645,                 0.7109,                0.80176,                0.61425,                0.72604,                0.56797,                0.98597,              0.0089506,              0.0089506,              0.0089506
                    108,                0.76147,                0.59373,                 1.0238,                0.75371,                 0.7066,                0.80246,                0.61333,                0.72648,                0.56879,                0.98614,              0.0089407,              0.0089407,              0.0089407
                    109,                0.76203,                0.59405,                 1.0218,                0.77428,                 0.7017,                0.80356,                0.61329,                0.72621,                0.56917,                0.98599,              0.0089308,              0.0089308,              0.0089308
                    110,                0.75598,                0.58755,                 1.0213,                0.77707,                0.69634,                0.80666,                 0.6145,                0.72628,                0.56875,                0.98586,              0.0089209,              0.0089209,              0.0089209
                    111,                0.76729,                0.59808,                 1.0272,                0.77903,                0.69711,                 0.8071,                 0.6182,                0.72568,                0.56831,                0.98587,               0.008911,               0.008911,               0.008911
                    112,                0.75158,                0.58703,                 1.0188,                0.78788,                0.69763,                 0.8088,                0.61778,                 0.7256,                0.56763,                0.98573,              0.0089011,              0.0089011,              0.0089011
                    113,                0.75644,                0.59022,                 1.0218,                0.78684,                0.69689,                0.81288,                0.61789,                  0.726,                0.56693,                0.98627,              0.0088912,              0.0088912,              0.0088912
                    114,                 0.7546,                0.58468,                 1.0183,                0.77893,                0.69578,                0.82396,                 0.6189,                0.72627,                0.56679,                0.98658,              0.0088813,              0.0088813,              0.0088813
                    115,                0.75668,                0.59031,                 1.0221,                0.79062,                0.69302,                0.81155,                0.61838,                0.72583,                0.56691,                0.98643,              0.0088714,              0.0088714,              0.0088714
                    116,                0.75306,                0.58533,                 1.0216,                0.79481,                0.69309,                0.82091,                0.61701,                0.72589,                0.56711,                0.98633,              0.0088615,              0.0088615,              0.0088615
                    117,                0.75489,                 0.5839,                 1.0211,                0.79389,                0.69383,                 0.8103,                0.61635,                0.72571,                0.56749,                0.98618,              0.0088516,              0.0088516,              0.0088516
                    118,                0.74548,                0.57704,                 1.0145,                0.79647,                0.69415,                0.80918,                0.61707,                0.72535,                0.56803,                0.98633,              0.0088417,              0.0088417,              0.0088417
                    119,                0.75461,                0.58376,                 1.0231,                 0.7988,                0.69511,                0.81079,                0.61667,                0.72453,                0.56849,                0.98598,              0.0088318,              0.0088318,              0.0088318
                    120,                0.75683,                0.58393,                 1.0181,                0.79789,                0.69615,                 0.8096,                0.61533,                0.72446,                0.56837,                0.98594,              0.0088219,              0.0088219,              0.0088219
                    121,                0.75169,                0.57754,                 1.0134,                0.79816,                0.69665,                0.81004,                0.61677,                0.72415,                0.56837,                0.98587,               0.008812,               0.008812,               0.008812
                    122,                0.74672,                0.57589,                 1.0161,                0.79435,                0.69763,                0.81018,                 0.6158,                0.72454,                0.56922,                0.98585,              0.0088021,              0.0088021,              0.0088021
                    123,                0.74831,                0.57516,                 1.0146,                0.79995,                0.69937,                0.81023,                 0.6157,                0.72446,                0.56908,                0.98583,              0.0087922,              0.0087922,              0.0087922
                    124,                0.75066,                0.57597,                 1.0181,                0.80103,                0.69997,                0.80997,                 0.6164,                0.72434,                0.56929,                0.98581,              0.0087823,              0.0087823,              0.0087823
                    125,                0.75001,                0.57704,                 1.0217,                0.80049,                0.69841,                 0.8102,                0.61645,                0.72386,                0.56886,                0.98559,              0.0087724,              0.0087724,              0.0087724
                    126,                 0.7412,                0.57344,                 1.0156,                0.80084,                0.69822,                0.81007,                0.61699,                0.72376,                0.56831,                0.98572,              0.0087625,              0.0087625,              0.0087625
                    127,                0.74272,                0.57506,                  1.013,                0.79909,                0.69881,                0.81096,                0.61586,                0.72332,                0.56823,                0.98575,              0.0087526,              0.0087526,              0.0087526
                    128,                0.74991,                0.57839,                 1.0197,                0.78349,                0.70397,                0.81068,                0.61516,                0.72368,                0.56825,                0.98571,              0.0087427,              0.0087427,              0.0087427
                    129,                0.74695,                0.57618,                 1.0143,                0.79796,                0.69897,                0.81093,                0.61519,                0.72347,                0.56821,                0.98538,              0.0087328,              0.0087328,              0.0087328
                    130,                0.74715,                0.57009,                 1.0155,                0.79769,                0.69977,                0.82201,                0.61526,                0.72317,                 0.5684,                0.98518,              0.0087229,              0.0087229,              0.0087229
                    131,                0.74388,                0.56951,                 1.0157,                0.79734,                0.69995,                0.82139,                0.61621,                0.72327,                0.56823,                0.98535,               0.008713,               0.008713,               0.008713
                    132,                0.74809,                0.57264,                 1.0155,                0.79603,                0.69977,                 0.8207,                0.61471,                0.72342,                 0.5683,                0.98537,              0.0087031,              0.0087031,              0.0087031
                    133,                0.74746,                0.57804,                 1.0194,                0.79463,                0.70051,                0.82021,                0.61468,                0.72331,                0.56829,                0.98553,              0.0086932,              0.0086932,              0.0086932
                    134,                0.73335,                0.56849,                 1.0126,                0.79264,                0.70128,                0.81108,                0.61444,                0.72291,                0.56854,                0.98529,              0.0086833,              0.0086833,              0.0086833
                    135,                0.74199,                 0.5666,                 1.0111,                0.79059,                0.70105,                0.82019,                0.61491,                 0.7229,                0.56834,                0.98529,              0.0086734,              0.0086734,              0.0086734
                    136,                0.73993,                0.56808,                 1.0108,                0.78847,                0.70206,                0.81095,                0.61465,                0.72269,                 0.5682,                  0.985,              0.0086635,              0.0086635,              0.0086635
                    137,                0.73968,                0.56495,                 1.0116,                0.78893,                0.70028,                0.82037,                0.61588,                0.72233,                0.56855,                0.98487,              0.0086536,              0.0086536,              0.0086536
                    138,                0.74135,                0.56884,                 1.0154,                0.78889,                0.70052,                 0.8108,                0.61498,                0.72183,                0.56762,                0.98454,              0.0086437,              0.0086437,              0.0086437
                    139,                0.74053,                0.56785,                 1.0156,                0.79107,                0.70082,                0.81062,                0.61543,                 0.7214,                0.56781,                0.98448,              0.0086338,              0.0086338,              0.0086338
                    140,                0.74295,                0.56895,                 1.0168,                0.79174,                0.70184,                 0.8102,                0.61518,                0.72168,                0.56845,                0.98471,              0.0086239,              0.0086239,              0.0086239
                    141,                0.73344,                0.56463,                 1.0118,                0.79089,                0.70253,                0.80995,                 0.6146,                0.72095,                0.56833,                0.98447,               0.008614,               0.008614,               0.008614
                    142,                0.73868,                0.57236,                  1.016,                0.78858,                0.70439,                0.81027,                0.61467,                0.72083,                0.56835,                0.98459,              0.0086041,              0.0086041,              0.0086041
                    143,                 0.7412,                0.56707,                 1.0154,                0.78772,                0.70439,                0.81133,                0.61586,                0.72074,                0.56831,                0.98469,              0.0085942,              0.0085942,              0.0085942
